sensor_id,timestamp,latitude,longitude,ph,turbidity,temperature,conductivity
"sensor-1","2025-11-24T21:35:42.719Z",48.8566,2.3522,6.9,2.8,14.81,744.09
"sensor-2","2025-11-24T21:35:42.728Z",45.764,4.8357,6.91,3.45,16.75,1038.77
"sensor-3","2025-11-24T21:35:42.729Z",43.2965,5.3698,7.44,2.03,19.27,1505.14
"sensor-1","2025-11-24T21:35:47.723Z",48.8566,2.3522,6.95,2.21,16.06,909.12
"sensor-2","2025-11-24T21:35:47.726Z",45.764,4.8357,6.8,2.9,18.55,1209.11
"sensor-3","2025-11-24T21:35:47.728Z",43.2965,5.3698,7.29,1.35,21.8,1368.56
"sensor-1","2025-11-24T21:35:52.731Z",48.8566,2.3522,4.29,2.55,13.55,700.21
"sensor-2","2025-11-24T21:35:52.761Z",45.764,4.8357,7.03,3.45,18.58,1267.04
"sensor-3","2025-11-24T21:35:52.799Z",43.2965,5.3698,7.68,1.55,18.69,1571.76
"sensor-1","2025-11-24T21:35:57.733Z",48.8566,2.3522,7.14,14.87,16.5,735.23
"sensor-2","2025-11-24T21:35:57.734Z",45.764,4.8357,6.85,3.12,16.95,1251.26
"sensor-3","2025-11-24T21:35:57.734Z",43.2965,5.3698,7.76,2.26,18.04,1408.46
"sensor-1","2025-11-24T21:36:02.748Z",48.8566,2.3522,7.29,2.16,15.56,653.56
"sensor-2","2025-11-24T21:36:02.765Z",45.764,4.8357,6.9,2.98,16.46,1145.41
"sensor-3","2025-11-24T21:36:02.782Z",43.2965,5.3698,7.75,2.16,20.74,1472.34
"sensor-1","2025-11-24T21:36:07.760Z",48.8566,2.3522,7.26,2.52,15.04,990.68
"sensor-2","2025-11-24T21:36:07.760Z",45.764,4.8357,7.28,3.46,16.46,1244.08
"sensor-3","2025-11-24T21:36:07.761Z",43.2965,5.3698,7.38,1.34,20.4,1488.57
"sensor-1","2025-11-24T21:36:12.762Z",48.8566,2.3522,7.24,2.38,13.22,900.26
"sensor-2","2025-11-24T21:36:12.762Z",45.764,4.8357,7.16,3.4,17.95,1199.77
"sensor-3","2025-11-24T21:36:12.764Z",43.2965,5.3698,7.78,2.26,20.56,1560.43
"sensor-1","2025-11-24T21:36:17.768Z",48.8566,2.3522,6.91,2.16,13.18,933.08
"sensor-2","2025-11-24T21:36:17.769Z",45.764,4.8357,6.72,3.04,18.62,1059.82
"sensor-3","2025-11-24T21:36:17.769Z",43.2965,5.3698,7.49,1.33,19.72,1648.72
"sensor-1","2025-11-24T21:36:22.777Z",48.8566,2.3522,7.11,2.65,13.05,765.36
"sensor-2","2025-11-24T21:36:22.778Z",45.764,4.8357,6.73,2.75,17.27,1111.21
"sensor-3","2025-11-24T21:36:22.779Z",43.2965,5.3698,7.35,2.21,20.01,1490.3
"sensor-1","2025-11-24T21:36:27.781Z",48.8566,2.3522,7.44,2.06,16.19,624.83
"sensor-2","2025-11-24T21:36:27.782Z",45.764,4.8357,7.21,3.11,17.83,1330.96
"sensor-3","2025-11-24T21:36:27.782Z",43.2965,5.3698,7.59,1.53,21.76,1531.94
"sensor-1","2025-11-24T21:36:32.794Z",48.8566,2.3522,7.46,2.73,13.72,695.94
"sensor-2","2025-11-24T21:36:32.795Z",45.764,4.8357,7.06,2.8,16.94,1128.02
"sensor-3","2025-11-24T21:36:32.798Z",43.2965,5.3698,7.73,1.42,21.37,1675.82
"sensor-1","2025-11-24T21:36:37.801Z",48.8566,2.3522,7.1,2.01,13.67,958
"sensor-2","2025-11-24T21:36:37.802Z",45.764,4.8357,6.71,2.63,18.44,1387.58
"sensor-3","2025-11-24T21:36:37.802Z",43.2965,5.3698,7.55,1.53,21.07,1505.4
"sensor-1","2025-11-24T21:36:42.811Z",48.8566,2.3522,7.49,2.2,16.29,975.64
"sensor-2","2025-11-24T21:36:42.812Z",45.764,4.8357,7.21,2.8,16.42,1006.62
"sensor-3","2025-11-24T21:36:42.812Z",43.2965,5.3698,7.67,2.14,18.65,1605.02
"sensor-1","2025-11-24T21:36:47.821Z",48.8566,2.3522,6.96,2.09,16.24,917.2
"sensor-2","2025-11-24T21:36:47.822Z",45.764,4.8357,6.74,2.6,16.29,1189.66
"sensor-3","2025-11-24T21:36:47.823Z",43.2965,5.3698,7.34,1.45,20.65,1678.52
"sensor-1","2025-11-24T21:36:52.828Z",48.8566,2.3522,7.44,2.97,13.37,689.57
"sensor-2","2025-11-24T21:36:52.829Z",45.764,4.8357,7.25,3.34,19.77,1297.68
"sensor-3","2025-11-24T21:36:52.830Z",43.2965,5.3698,7.72,1.38,20.8,1416.5
"sensor-1","2025-11-24T21:36:57.836Z",48.8566,2.3522,7.41,2.28,16.81,666.27
"sensor-2","2025-11-24T21:36:57.838Z",45.764,4.8357,7.29,2.95,18.61,1338.02
"sensor-3","2025-11-24T21:36:57.838Z",43.2965,5.3698,7.66,2.09,18.19,1350.49
"sensor-1","2025-11-24T21:37:02.850Z",48.8566,2.3522,6.97,2.82,13.64,672.86
"sensor-2","2025-11-24T21:37:02.857Z",45.764,4.8357,7.03,2.53,16.18,1172.42
"sensor-3","2025-11-24T21:37:02.863Z",43.2965,5.3698,7.57,1.8,18.18,1648.43
"sensor-1","2025-11-24T21:37:07.858Z",48.8566,2.3522,7.06,2.01,13.64,764.13
"sensor-2","2025-11-24T21:37:07.859Z",45.764,4.8357,7.16,3.36,19.43,1041.38
"sensor-3","2025-11-24T21:37:07.860Z",43.2965,5.3698,7.35,1.96,20.52,1359.27
"sensor-1","2025-11-24T21:37:12.869Z",48.8566,2.3522,7.19,2.31,15.44,607.93
"sensor-2","2025-11-24T21:37:12.871Z",45.764,4.8357,7.16,2.65,16.52,1036.12
